heuristic,agents,profit,time,distance
two,1,40,10530.77,70459.99
two,1,45,20003.30,80145.35
two,1,50,33438.46,105835.89
two,1,55,47063.74,139228.11
two,1,60,46470.33,142736.40
two,1,65,28489.01,142929.68
two,1,70,31027.47,142979.99
two,1,75,46998.90,142741.21
two,1,80,73943.96,155663.79
two,1,85,45430.77,164088.34
two,1,90,36294.51,165807.82
two,1,95,50137.36,166266.59
two,1,100,30761.54,166472.66
two,1,105,35837.36,169772.00
two,1,110,45237.36,173186.86
two,1,115,43957.14,176440.15
two,1,120,47852.75,176779.16
two,1,125,52517.58,177597.38
two,1,130,63151.65,188764.34
two,1,135,102489.01,234547.47
two,1,140,104453.85,239227.66
two,1,145,97170.33,240748.20
two,1,150,124363.74,241829.80
two,1,155,95858.24,241737.34
two,1,160,137448.35,242277.09
two,1,165,146417.58,242971.22
two,1,170,190149.45,243611.80
two,1,175,131283.52,247691.75
two,1,180,262827.47,248761.21
two,1,185,267675.82,249940.38
two,1,190,208974.73,252712.25
two,1,195,266310.99,259828.51
two,1,200,417050.55,262753.03
two,1,205,504431.87,267678.62
two,1,210,781965.93,279848.00
two,1,215,861863.74,304538.75
two,1,220,874696.70,461107.56
two,1,225,849658.24,493463.51
two,1,230,970045.05,514256.69
two,1,235,865275.82,514110.02
two,1,240,860849.45,514266.78
two,1,245,1100546.15,515743.73
two,1,250,1141923.08,517156.38
two,1,255,1096490.11,519486.01
two,1,260,1067247.25,523261.77
two,1,265,1194970.33,531592.64
two,1,270,1203463.74,564062.62
two,1,275,1371367.03,604937.97
two,1,280,1304115.38,612016.21
two,1,285,1290789.01,618870.59
two,1,290,1421762.64,622877.70
two,1,295,1347615.38,626969.27
two,2,5,2050.55,60971.98
two,2,10,1847.25,60971.98
two,2,15,2073.63,61069.89
two,2,20,2249.45,61626.09
two,2,25,1641.76,65403.82
two,2,30,1720.88,85960.96
two,2,35,2002.20,86490.06
two,2,40,2128.57,88015.15
two,2,45,2925.27,129605.58
two,2,50,4308.79,157401.10
two,2,55,4694.51,165470.31
two,2,60,3920.88,168208.18
two,2,65,5484.62,169030.77
two,2,70,5142.86,169045.96
two,2,75,5306.59,176071.66
two,2,80,7043.96,183096.43
two,2,85,7390.11,205153.74
two,2,90,6952.75,206507.17
two,2,95,8512.09,206595.15
two,2,100,10090.11,207648.57
two,2,105,10798.90,221582.21
two,2,110,15360.44,220742.91
two,2,115,15780.22,227032.52
two,2,120,15264.84,227417.27
two,2,125,22652.75,244910.30
two,2,130,27849.45,267821.04
two,2,135,28319.78,296352.18
two,2,140,30959.34,300219.88
two,2,145,41390.11,303023.35
two,2,150,37653.85,301633.66
two,2,155,37505.49,300184.33
two,2,160,43402.20,302293.75
two,2,165,60092.31,305623.86
two,2,170,53040.66,313064.26
two,2,175,64789.01,313038.81
two,2,180,71080.22,319204.65
two,2,185,76228.57,329090.15
two,2,190,87790.11,334982.90
two,2,195,118418.68,341633.90
two,2,200,177201.10,352755.17
two,2,205,242192.31,350307.72
two,2,210,323418.68,377182.54
two,2,215,313475.82,428402.41
two,2,220,454357.14,554327.20
two,2,225,443479.12,592378.50
two,2,230,406169.23,609231.84
two,2,235,458806.59,616759.77
two,2,240,471401.10,619810.36
two,2,245,432761.54,611914.34
two,2,250,439078.02,631044.12
two,2,255,409113.19,623787.41
two,2,260,479885.71,635227.68
two,2,265,523604.40,658289.95
two,2,270,571001.10,683508.10
two,2,275,1258838.46,730083.84
two,2,280,1141260.44,750669.45
two,2,285,844428.57,798655.49
two,2,290,843763.74,825170.87
two,2,295,877120.88,837325.01
two,3,5,2159.34,60971.98
two,3,10,2102.20,60971.98
two,3,15,2425.27,61069.89
two,3,20,2131.87,61631.66
two,3,25,2168.13,65439.53
two,3,30,2328.57,86542.96
two,3,35,2505.49,87551.34
two,3,40,2528.57,88511.64
two,3,45,3028.57,132245.43
two,3,50,3184.62,161149.38
two,3,55,3343.96,168995.79
two,3,60,2996.70,171127.18
two,3,65,3461.54,171127.18
two,3,70,3209.89,175811.56
two,3,75,3732.97,190326.42
two,3,80,3967.03,191877.90
two,3,85,4193.41,213493.16
two,3,90,3839.56,215585.30
two,3,95,5692.31,219666.62
two,3,100,5640.66,234779.16
two,3,105,6025.27,235760.59
two,3,110,6428.57,236000.87
two,3,115,7451.65,255915.78
two,3,120,11078.02,267326.75
two,3,125,21182.42,300615.41
two,3,130,18200.00,335031.83
two,3,135,18539.56,368854.04
two,3,140,15703.30,378090.33
two,3,145,17891.21,376632.94
two,3,150,19861.54,375428.61
two,3,155,14830.77,375093.92
two,3,160,20690.11,379891.49
two,3,165,30873.63,385650.37
two,3,170,38896.70,396879.39
two,3,175,32292.31,395352.87
two,3,180,54752.75,401637.13
two,3,185,62692.31,410276.97
two,3,190,77695.60,423210.51
two,3,195,85406.59,424822.24
two,3,200,114312.09,421666.73
two,3,205,148062.64,443259.06
two,3,210,219421.98,486547.54
two,3,215,284080.22,537125.77
two,3,220,265272.53,659805.98
two,3,225,308976.92,693374.97
two,3,230,309795.60,705686.00
two,3,235,335715.38,709696.67
two,3,240,321519.78,725395.12
two,3,245,326757.14,716055.46
two,3,250,396693.41,720638.15
two,3,255,313065.93,716997.79
two,3,260,388950.55,750793.92
two,3,265,391874.73,798293.55
two,3,270,421673.63,833808.33
two,3,275,450371.43,917571.29
two,3,280,489346.15,955224.95
two,3,285,495304.40,1042880.09
two,3,290,480230.77,1039904.94
two,3,295,486317.58,1068408.26
two,4,5,2940.66,60971.98
two,4,10,2751.65,60971.98
two,4,15,2783.52,61069.89
two,4,20,3038.46,61631.66
two,4,25,2840.66,65447.58
two,4,30,3003.30,86586.50
two,4,35,3337.36,87594.89
two,4,40,5394.51,88555.18
two,4,45,6103.30,132341.30
two,4,50,6293.41,165094.70
two,4,55,6964.84,169130.77
two,4,60,7026.37,171253.11
two,4,65,6318.68,171253.11
two,4,70,12840.66,175799.11
two,4,75,8478.02,196038.63
two,4,80,6905.49,196038.63
two,4,85,8208.79,218772.69
two,4,90,7937.36,223035.12
two,4,95,5205.49,226195.59
two,4,100,6915.38,246505.90
two,4,105,9818.68,246880.09
two,4,110,10889.01,246875.84
two,4,115,12362.64,267706.36
two,4,120,14076.92,280103.74
two,4,125,18242.86,304746.99
two,4,130,19407.69,348148.48
two,4,135,22862.64,378777.90
two,4,140,19076.92,381084.25
two,4,145,22971.43,380509.39
two,4,150,22843.96,383087.04
two,4,155,30332.97,388017.62
two,4,160,16780.22,422733.75
two,4,165,22229.67,434755.99
two,4,170,20421.98,439152.39
two,4,175,22127.47,442903.74
two,4,180,41009.89,463704.61
two,4,185,90379.12,494605.68
two,4,190,107195.60,499303.38
two,4,195,117070.33,510524.00
two,4,200,182141.76,531031.08
two,4,205,256679.12,558990.03
two,4,210,290858.24,618721.04
two,4,215,326940.66,693866.65
two,4,220,272576.92,778889.95
two,4,225,307295.60,781127.28
two,4,230,352803.30,802507.72
two,4,235,225173.63,810024.36
two,4,240,414107.69,813206.93
two,4,245,402670.33,816713.08
two,4,250,296989.01,835235.29
two,4,255,312872.53,862593.05
two,4,260,281930.77,891574.64
two,4,265,403317.58,946916.27
two,4,270,469380.22,984750.61
two,4,275,570854.95,1081948.60
two,4,280,693723.08,1127003.78
two,4,285,534316.48,1173005.21
two,4,290,730771.43,1184726.86
two,4,295,596543.96,1193088.93
two,6,5,5140.66,60971.98
two,6,10,5238.46,60971.98
two,6,15,4975.82,61069.89
two,6,20,4830.77,61631.66
two,6,25,4635.16,65447.58
two,6,30,5047.25,86586.50
two,6,35,4937.36,87594.89
two,6,40,5524.18,88555.18
two,6,45,7465.93,132341.30
two,6,50,7596.70,165094.70
two,6,55,6827.47,169160.13
two,6,60,5479.12,171296.65
two,6,65,5434.07,171296.65
two,6,70,5270.33,175842.66
two,6,75,5254.95,196093.17
two,6,80,5503.30,196093.17
two,6,85,5416.48,218827.22
two,6,90,5686.81,223089.66
two,6,95,5696.70,226669.39
two,6,100,5817.58,250780.91
two,6,105,6856.04,251119.48
two,6,110,6782.42,251119.48
two,6,115,6629.67,271946.49
two,6,120,8859.34,333121.78
two,6,125,7427.47,333825.83
two,6,130,7083.52,360651.78
two,6,135,7773.63,392941.41
two,6,140,7947.25,397353.66
two,6,145,8323.08,397458.80
two,6,150,7629.67,397607.16
two,6,155,9325.27,403570.24
two,6,160,10407.69,444397.83
two,6,165,13148.35,468818.91
two,6,170,13635.16,494663.08
two,6,175,17978.02,512089.77
two,6,180,16458.24,544663.43
two,6,185,22067.03,592010.83
two,6,190,30130.77,601331.91
two,6,195,32961.54,619478.32
two,6,200,56602.20,638312.13
two,6,205,60623.08,762507.94
two,6,210,77448.35,832941.84
two,6,215,101302.20,880138.36
two,6,220,98508.79,902927.38
two,6,225,81048.35,915839.73
two,6,230,104358.24,950516.82
two,6,235,107845.05,985778.77
two,6,240,86956.04,989891.44
two,6,245,121052.75,991233.84
two,6,250,110006.59,1005987.35
two,6,255,138118.68,1086291.87
two,6,260,168820.88,1150610.13
two,6,265,162670.33,1203005.15
two,6,270,202982.42,1271728.91
two,6,275,219763.74,1327797.47
two,6,280,251514.29,1388030.39
two,6,285,217982.42,1423711.78
two,6,290,276552.75,1470346.25
two,6,295,305063.74,1485067.50
two,8,5,7584.62,60971.98
two,8,10,6797.80,60971.98
two,8,15,7261.54,61069.89
two,8,20,7315.38,61631.66
two,8,25,7141.76,65447.58
two,8,30,7830.77,86586.50
two,8,35,8169.23,87594.89
two,8,40,7830.77,88555.18
two,8,45,7808.79,132341.30
two,8,50,8439.56,165094.70
two,8,55,8498.90,169160.13
two,8,60,8452.75,171296.65
two,8,65,10046.15,171296.65
two,8,70,7685.71,175842.66
two,8,75,10320.88,196093.17
two,8,80,12927.47,196093.17
two,8,85,10201.10,218827.22
two,8,90,9863.74,223089.66
two,8,95,10216.48,226669.39
two,8,100,8231.87,250780.91
two,8,105,9431.87,251119.48
two,8,110,9921.98,251119.48
two,8,115,9790.11,271946.49
two,8,120,9879.12,333121.78
two,8,125,11408.79,333825.83
two,8,130,11141.76,360651.78
two,8,135,11072.53,392941.41
two,8,140,10675.82,397685.98
two,8,145,11028.57,398362.40
two,8,150,16780.22,398616.93
two,8,155,16829.67,404452.70
two,8,160,17239.56,450163.52
two,8,165,20387.91,477225.30
two,8,170,18656.04,501989.23
two,8,175,23641.76,522784.11
two,8,180,26321.98,553142.83
two,8,185,27096.70,601360.42
two,8,190,36161.54,636975.58
two,8,195,33031.87,666565.40
two,8,200,36359.34,725040.56
two,8,205,53328.57,854821.86
two,8,210,53525.27,918957.79
two,8,215,44837.36,948997.07
two,8,220,56082.42,953598.79
two,8,225,51878.02,966056.04
two,8,230,58390.11,1005847.83
two,8,235,49512.09,1028828.68
two,8,240,63882.42,1040743.56
two,8,245,81789.01,1057850.33
two,8,250,81148.35,1172108.10
two,8,255,91984.62,1266352.70
two,8,260,91625.27,1371440.68
two,8,265,120643.96,1366778.98
two,8,270,131942.86,1450962.60
two,8,275,122947.25,1516547.18
two,8,280,155794.51,1574190.16
two,8,285,147421.98,1648161.70
two,8,290,177814.29,1695345.35
two,8,295,164020.88,1777520.80
two,10,5,9858.24,60971.98
two,10,10,9465.93,60971.98
two,10,15,9515.38,61069.89
two,10,20,10958.24,61631.66
two,10,25,9071.43,65447.58
two,10,30,9282.42,86586.50
two,10,35,9262.64,87594.89
two,10,40,9337.36,88555.18
two,10,45,9524.18,132341.30
two,10,50,9638.46,165094.70
two,10,55,10500.00,169160.13
two,10,60,10514.29,171296.65
two,10,65,11624.18,171296.65
two,10,70,9783.52,175842.66
two,10,75,9817.58,196093.17
two,10,80,9847.25,196093.17
two,10,85,10054.95,218827.22
