coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,2,8,100,215625.26
dist,3,8,100,242895.59
dist,4,8,100,255971.82
dist,6,8,100,261208.76
dist,8,8,100,263443.92
dist,10,8,100,264328.64
dist,1,16,100,178209.48
dist,2,16,100,214403.07
dist,3,16,100,242873.52
dist,4,16,100,251226.08
dist,6,16,100,262097.90
dist,8,16,100,267814.80
dist,10,16,100,268644.61
dist,1,32,100,173158.43
dist,2,32,100,279507.96
dist,3,32,100,293902.76
dist,4,32,100,305136.07
dist,6,32,100,340605.01
dist,8,32,100,343227.88
dist,10,32,100,363269.56
dist,1,1,105,189182.08
dist,2,1,105,217478.42
dist,3,1,105,243530.73
dist,4,1,105,244473.51
dist,6,1,105,249544.35
dist,8,1,105,253776.16
dist,10,1,105,253776.16
dist,1,2,105,179832.40
dist,2,2,105,222989.34
dist,3,2,105,253756.33
dist,4,2,105,247826.39
dist,6,2,105,249517.21
dist,8,2,105,251714.70
dist,10,2,105,256028.76
dist,1,4,105,180543.69
dist,2,4,105,225207.26
dist,3,4,105,240404.07
dist,4,4,105,250690.03
dist,6,4,105,253612.14
dist,8,4,105,254624.49
dist,10,4,105,255386.33
dist,1,8,105,181288.14
dist,2,8,105,220289.72
dist,3,8,105,245876.58
dist,4,8,105,256149.65
dist,6,8,105,261486.89
dist,8,8,105,263443.92
dist,10,8,105,264345.01
dist,1,16,105,181819.47
dist,2,16,105,216642.68
dist,3,16,105,250876.25
dist,4,16,105,261997.03
dist,6,16,105,271314.11
dist,8,16,105,282241.94
dist,10,16,105,283169.93
dist,1,32,105,182458.52
dist,2,32,105,281782.54
dist,3,32,105,298154.49
dist,4,32,105,313191.41
dist,6,32,105,346515.64
dist,8,32,105,356127.57
dist,10,32,105,379973.95
dist,1,1,110,192379.59
dist,2,1,110,217487.92
dist,3,1,110,243555.80
dist,4,1,110,244512.20
dist,6,1,110,253316.29
dist,8,1,110,253776.16
dist,10,1,110,253776.16
dist,1,2,110,183037.71
dist,2,2,110,223143.73
dist,3,2,110,253874.27
dist,4,2,110,247865.08
dist,6,2,110,249738.61
dist,8,2,110,255486.65
dist,10,2,110,256028.76
dist,1,4,110,183749.00
dist,2,4,110,225260.01
dist,3,4,110,240511.89
dist,4,4,110,250690.03
dist,6,4,110,253848.27
dist,8,4,110,254869.23
dist,10,4,110,255791.75
dist,1,8,110,184630.16
dist,2,8,110,220463.83
dist,3,8,110,245987.30
dist,4,8,110,256481.07
dist,6,8,110,261654.38
dist,8,8,110,263680.31
dist,10,8,110,265027.73
dist,1,16,110,188440.07
dist,2,16,110,223158.34
dist,3,16,110,251767.23
dist,4,16,110,268430.41
dist,6,16,110,278527.48
dist,8,16,110,282809.11
dist,10,16,110,283944.83
dist,1,32,110,184965.87
dist,2,32,110,286435.78
dist,3,32,110,300838.76
dist,4,32,110,318836.10
dist,6,32,110,351873.77
dist,8,32,110,367848.09
dist,10,32,110,396957.69
dist,1,1,115,195634.45
dist,2,1,115,219548.00
dist,3,1,115,256499.07
dist,4,1,115,258960.17
